ip_address,port,protocol,username,password,country,tags
202.102.185.1,8080,http,,,CN,premium
202.102.185.2,3128,https,,,CN,
202.102.131.1,1080,socks5,,,CN,test
202.102.131.2,8080,http,,,CN,premium
202.102.177.1,3128,https,,,CN,
202.102.177.2,1080,socks4,,,CN,test
202.102.148.1,8080,http,,,CN,premium
202.102.148.2,3128,https,,,CN,
202.102.129.1,1080,socks5,,,CN,test
202.102.129.2,8080,http,,,CN,premium
202.102.179.1,3128,https,,,CN,
202.102.179.2,1080,socks4,,,CN,test
202.102.156.1,8080,http,,,CN,premium
202.102.156.2,3128,https,,,CN,
202.102.135.1,1080,socks5,,,CN,test
202.102.135.2,8080,http,,,CN,premium
202.102.181.1,3128,https,,,CN,
202.102.181.2,1080,socks4,,,CN,test
202.102.157.1,8080,http,,,CN,premium
202.102.157.2,3128,https,,,CN,
202.102.136.1,1080,socks5,,,CN,test
202.102.136.2,8080,http,,,CN,premium
202.102.183.1,3128,https,,,CN,
202.102.183.2,1080,socks4,,,CN,test
202.102.159.1,8080,http,,,CN,premium
202.102.159.2,3128,https,,,CN,
202.102.137.1,1080,socks5,,,CN,test
202.102.137.2,8080,http,,,CN,premium
202.102.184.1,3128,https,,,CN,
202.102.184.2,1080,socks4,,,CN,test
202.102.160.1,8080,http,,,CN,premium
202.102.160.2,3128,https,,,CN,
202.102.138.1,1080,socks5,,,CN,test
202.102.138.2,8080,http,,,CN,premium
202.102.186.1,3128,https,,,CN,
202.102.186.2,1080,socks4,,,CN,test
202.102.161.1,8080,http,,,CN,premium
202.102.161.2,3128,https,,,CN,
202.102.139.1,1080,socks5,,,CN,test
202.102.139.2,8080,http,,,CN,premium
202.102.187.1,3128,https,,,CN,
202.102.187.2,1080,socks4,,,CN,test
202.102.162.1,8080,http,,,CN,premium
202.102.162.2,3128,https,,,CN,
202.102.140.1,1080,socks5,,,CN,test
202.102.140.2,8080,http,,,CN,premium
202.102.188.1,3128,https,,,CN,
202.102.188.2,1080,socks4,,,CN,test
202.102.163.1,8080,http,,,CN,premium
202.102.163.2,3128,https,,,CN,
202.102.141.1,1080,socks5,,,CN,test
202.102.141.2,8080,http,,,CN,premium
202.102.189.1,3128,https,,,CN,
202.102.189.2,1080,socks4,,,CN,test
202.102.164.1,8080,http,,,CN,premium
202.102.164.2,3128,https,,,CN,
202.102.142.1,1080,socks5,,,CN,test
202.102.142.2,8080,http,,,CN,premium
202.102.190.1,3128,https,,,CN,
202.102.190.2,1080,socks4,,,CN,test
202.102.165.1,8080,http,,,CN,premium
202.102.165.2,3128,https,,,CN,
202.102.143.1,1080,socks5,,,CN,test
202.102.143.2,8080,http,,,CN,premium
202.102.191.1,3128,https,,,CN,
202.102.191.2,1080,socks4,,,CN,test
202.102.166.1,8080,http,,,CN,premium
202.102.166.2,3128,https,,,CN,
202.102.144.1,1080,socks5,,,CN,test
202.102.144.2,8080,http,,,CN,premium
202.102.192.1,3128,https,,,CN,
202.102.192.2,1080,socks4,,,CN,test
202.102.167.1,8080,http,,,CN,premium
202.102.167.2,3128,https,,,CN,
202.102.145.1,1080,socks5,,,CN,test
202.102.145.2,8080,http,,,CN,premium
202.102.193.1,3128,https,,,CN,
202.102.193.2,1080,socks4,,,CN,test
202.102.168.1,8080,http,,,CN,premium
202.102.168.2,3128,https,,,CN,
202.102.146.1,1080,socks5,,,CN,test
202.102.146.2,8080,http,,,CN,premium
202.102.194.1,3128,https,,,CN,
202.102.194.2,1080,socks4,,,CN,test
202.102.169.1,8080,http,,,CN,premium
202.102.169.2,3128,https,,,CN,
202.102.147.1,1080,socks5,,,CN,test
202.102.147.2,8080,http,,,CN,premium
202.102.195.1,3128,https,,,CN,
202.102.195.2,1080,socks4,,,CN,test
202.102.170.1,8080,http,,,CN,premium
202.102.170.2,3128,https,,,CN,
202.102.148.1,1080,socks5,,,CN,test
202.102.148.2,8080,http,,,CN,premium
202.102.196.1,3128,https,,,CN,
202.102.196.2,1080,socks4,,,CN,test
202.102.171.1,8080,http,,,CN,premium
202.102.171.2,3128,https,,,CN,
202.102.149.1,1080,socks5,,,CN,test
202.102.149.2,8080,http,,,CN,premium
202.102.197.1,3128,https,,,CN,
202.102.197.2,1080,socks4,,,CN,test
202.102.172.1,8080,http,,,CN,premium
202.102.172.2,3128,https,,,CN,
202.102.150.1,1080,socks5,,,CN,test
202.102.150.2,8080,http,,,CN,premium
202.102.198.1,3128,https,,,CN,
202.102.198.2,1080,socks4,,,CN,test
202.102.173.1,8080,http,,,CN,premium
202.102.173.2,3128,https,,,CN,
202.102.151.1,1080,socks5,,,CN,test
202.102.151.2,8080,http,,,CN,premium
202.102.199.1,3128,https,,,CN,
202.102.199.2,1080,socks4,,,CN,test
202.102.174.1,8080,http,,,CN,premium
202.102.174.2,3128,https,,,CN,
202.102.152.1,1080,socks5,,,CN,test
202.102.152.2,8080,http,,,CN,premium
202.102.200.1,3128,https,,,CN,
202.102.200.2,1080,socks4,,,CN,test
202.102.175.1,8080,http,,,CN,premium
202.102.175.2,3128,https,,,CN,
202.102.153.1,1080,socks5,,,CN,test
202.102.153.2,8080,http,,,CN,premium
202.102.201.1,3128,https,,,CN,
202.102.201.2,1080,socks4,,,CN,test
202.102.176.1,8080,http,,,CN,premium
202.102.176.2,3128,https,,,CN,
202.102.154.1,1080,socks5,,,CN,test
202.102.154.2,8080,http,,,CN,premium
202.102.202.1,3128,https,,,CN,
202.102.202.2,1080,socks4,,,CN,test
202.102.177.1,8080,http,,,CN,premium
202.102.177.2,3128,https,,,CN,
202.102.155.1,1080,socks5,,,CN,test
202.102.155.2,8080,http,,,CN,premium
202.102.203.1,3128,https,,,CN,
202.102.203.2,1080,socks4,,,CN,test
202.102.178.1,8080,http,,,CN,premium
202.102.178.2,3128,https,,,CN,
202.102.156.1,1080,socks5,,,CN,test
202.102.156.2,8080,http,,,CN,premium
202.102.204.1,3128,https,,,CN,
202.102.204.2,1080,socks4,,,CN,test
202.102.179.1,8080,http,,,CN,premium
202.102.179.2,3128,https,,,CN,
202.102.157.1,1080,socks5,,,CN,test
202.102.157.2,8080,http,,,CN,premium
202.102.205.1,3128,https,,,CN,
202.102.205.2,1080,socks4,,,CN,test
202.102.180.1,8080,http,,,CN,premium
202.102.180.2,3128,https,,,CN,
202.102.158.1,1080,socks5,,,CN,test
202.102.158.2,8080,http,,,CN,premium
202.102.206.1,3128,https,,,CN,
202.102.206.2,1080,socks4,,,CN,test
202.102.181.1,8080,http,,,CN,premium
202.102.181.2,3128,https,,,CN,
202.102.159.1,1080,socks5,,,CN,test
202.102.159.2,8080,http,,,CN,premium
202.102.207.1,3128,https,,,CN,
202.102.207.2,1080,socks4,,,CN,test
202.102.182.1,8080,http,,,CN,premium
202.102.182.2,3128,https,,,CN,
202.102.160.1,1080,socks5,,,CN,test
202.102.160.2,8080,http,,,CN,premium
202.102.208.1,3128,https,,,CN,
202.102.208.2,1080,socks4,,,CN,test
202.102.183.1,8080,http,,,CN,premium
202.102.183.2,3128,https,,,CN,
202.102.161.1,1080,socks5,,,CN,test
202.102.161.2,8080,http,,,CN,premium
202.102.209.1,3128,https,,,CN,
202.102.209.2,1080,socks4,,,CN,test
202.102.184.1,8080,http,,,CN,premium
202.102.184.2,3128,https,,,CN,
202.102.162.1,1080,socks5,,,CN,test
202.102.162.2,8080,http,,,CN,premium
202.102.210.1,3128,https,,,CN,
202.102.210.2,1080,socks4,,,CN,test
202.102.185.1,8080,http,,,CN,premium
202.102.185.2,3128,https,,,CN,
202.102.163.1,1080,socks5,,,CN,test
202.102.163.2,8080,http,,,CN,premium
202.102.211.1,3128,https,,,CN,
202.102.211.2,1080,socks4,,,CN,test
202.102.186.1,8080,http,,,CN,premium
202.102.186.2,3128,https,,,CN,
202.102.164.1,1080,socks5,,,CN,test
202.102.164.2,8080,http,,,CN,premium
202.102.212.1,3128,https,,,CN,
202.102.212.2,1080,socks4,,,CN,test
202.102.187.1,8080,http,,,CN,premium
202.102.187.2,3128,https,,,CN,
202.102.165.1,1080,socks5,,,CN,test
202.102.165.2,8080,http,,,CN,premium
202.102.213.1,3128,https,,,CN,
202.102.213.2,1080,socks4,,,CN,test
202.102.188.1,8080,http,,,CN,premium
202.102.188.2,3128,https,,,CN,
202.102.166.1,1080,socks5,,,CN,test
202.102.166.2,8080,http,,,CN,premium
202.102.214.1,3128,https,,,CN,
202.102.214.2,1080,socks4,,,CN,test
202.102.189.1,8080,http,,,CN,premium
202.102.189.2,3128,https,,,CN,
202.102.167.1,1080,socks5,,,CN,test
202.102.167.2,8080,http,,,CN,premium
202.102.215.1,3128,https,,,CN,
202.102.215.2,1080,socks4,,,CN,test
202.102.190.1,8080,http,,,CN,premium
202.102.190.2,3128,https,,,CN,
202.102.168.1,1080,socks5,,,CN,test
202.102.168.2,8080,http,,,CN,premium
202.102.216.1,3128,https,,,CN,
202.102.216.2,1080,socks4,,,CN,test
